"Country or Area","Year","Commodity","Flow","Trade (USD)","Weight (kg)","Quantity Name","Quantity"
"China","1993","Articles of rare earths/metals nes","Import","11970","66","Weight in kilograms","66"
"China","1993","Articles of rare earths/metals nes","Export","330886","2873","Weight in kilograms","2873"
"China","1992","Articles of rare earths/metals nes","Import","407182","52270","Weight in kilograms","52270"
"China","1992","Articles of rare earths/metals nes","Export","203248","2185","Weight in kilograms","2185"
"China, Hong Kong SAR","2019","Articles of rare earths/metals nes","Import","2803339.676245","7731","Weight in kilograms","7731"
"China, Hong Kong SAR","2019","Articles of rare earths/metals nes","Export","3381456.7777925","25649","Weight in kilograms","25649"
"China, Hong Kong SAR","2018","Articles of rare earths/metals nes","Import","5124916.1034656","52836","Weight in kilograms","52836"
"China, Hong Kong SAR","2018","Articles of rare earths/metals nes","Export","5456872.9075832","33453","Weight in kilograms","33453"
"China, Hong Kong SAR","2017","Articles of rare earths/metals nes","Import","8112621.6893304","45972","Weight in kilograms","45972"
"China, Hong Kong SAR","2017","Articles of rare earths/metals nes","Export","9162759.773706","45401","Weight in kilograms","45401"
"China, Hong Kong SAR","2016","Articles of rare earths/metals nes","Import","15959192.23152","107901","Weight in kilograms","107901"
"China, Hong Kong SAR","2016","Articles of rare earths/metals nes","Export","13886290.979121","55262","Weight in kilograms","55262"
"China, Hong Kong SAR","2016","Articles of rare earths/metals nes","Re-Export","13886290.979121","55262","Weight in kilograms","55262"
"China, Hong Kong SAR","2015","Articles of rare earths/metals nes","Import","21300929.563935","91255","Weight in kilograms","91255"
"China, Hong Kong SAR","2015","Articles of rare earths/metals nes","Export","11479135.225425","30646","Weight in kilograms","30646"
"China, Hong Kong SAR","2015","Articles of rare earths/metals nes","Re-Export","11479135.225425","30646","Weight in kilograms","30646"
"China, Hong Kong SAR","2014","Articles of rare earths/metals nes","Import","23049806","41389","Weight in kilograms","41389"
"China, Hong Kong SAR","2014","Articles of rare earths/metals nes","Export","21205481","40465","Weight in kilograms","40465"
"China, Hong Kong SAR","2014","Articles of rare earths/metals nes","Re-Export","21205481","40465","Weight in kilograms","40465"
"China, Hong Kong SAR","2013","Articles of rare earths/metals nes","Export","21396491","","No Quantity",""
"China, Hong Kong SAR","2013","Articles of rare earths/metals nes","Re-Export","21396491","","No Quantity",""
"China, Hong Kong SAR","2013","Articles of rare earths/metals nes","Import","23154113","42211","Weight in kilograms","42211"
"China, Hong Kong SAR","2012","Articles of rare earths/metals nes","Import","19873962","34815","Weight in kilograms","34815"
"China, Hong Kong SAR","2012","Articles of rare earths/metals nes","Export","20583128","38278","Weight in kilograms","38278"
"China, Hong Kong SAR","2012","Articles of rare earths/metals nes","Re-Export","20583128","38278","Weight in kilograms","38278"
"China, Hong Kong SAR","2011","Articles of rare earths/metals nes","Import","20927815","30824","Weight in kilograms","30824"
"China, Hong Kong SAR","2011","Articles of rare earths/metals nes","Export","20215234","36717","Weight in kilograms","36717"
"China, Hong Kong SAR","2011","Articles of rare earths/metals nes","Re-Export","20215234","36717","Weight in kilograms","36717"
"China, Hong Kong SAR","2010","Articles of rare earths/metals nes","Import","12632865","24044","Weight in kilograms","24044"
"China, Hong Kong SAR","2010","Articles of rare earths/metals nes","Export","10305238","20909","Weight in kilograms","20909"
"China, Hong Kong SAR","2010","Articles of rare earths/metals nes","Re-Export","10305238","20909","Weight in kilograms","20909"
"China, Hong Kong SAR","2009","Articles of rare earths/metals nes","Import","8574219","20829","Weight in kilograms","20829"
"China, Hong Kong SAR","2009","Articles of rare earths/metals nes","Export","11215265","28753","Weight in kilograms","28753"
"China, Hong Kong SAR","2009","Articles of rare earths/metals nes","Re-Export","11215265","28753","Weight in kilograms","28753"
"China, Hong Kong SAR","2008","Articles of rare earths/metals nes","Import","11010916","24792","Weight in kilograms","24792"
"China, Hong Kong SAR","2008","Articles of rare earths/metals nes","Export","11254347","25348","Weight in kilograms","25348"
"China, Hong Kong SAR","2008","Articles of rare earths/metals nes","Re-Export","11254347","25348","Weight in kilograms","25348"
"China, Hong Kong SAR","2007","Articles of rare earths/metals nes","Import","20814962","37408","Weight in kilograms","37408"
"China, Hong Kong SAR","2007","Articles of rare earths/metals nes","Export","21301446","39410","Weight in kilograms","39410"
"China, Hong Kong SAR","2007","Articles of rare earths/metals nes","Re-Export","21301446","39410","Weight in kilograms","39410"
"China, Hong Kong SAR","2006","Articles of rare earths/metals nes","Import","18625492","43164","Weight in kilograms","43164"
"China, Hong Kong SAR","2006","Articles of rare earths/metals nes","Export","18520331","42491","Weight in kilograms","42491"
"China, Hong Kong SAR","2006","Articles of rare earths/metals nes","Re-Export","18520331","42491","Weight in kilograms","42491"
"China, Hong Kong SAR","2005","Articles of rare earths/metals nes","Import","1349039","2354","Weight in kilograms","2354"
"China, Hong Kong SAR","2005","Articles of rare earths/metals nes","Export","1608660","2278","Weight in kilograms","2278"
"China, Hong Kong SAR","2005","Articles of rare earths/metals nes","Re-Export","1608660","2278","Weight in kilograms","2278"
"China, Hong Kong SAR","2004","Articles of rare earths/metals nes","Import","1534598","2381","Weight in kilograms","2381"
"China, Hong Kong SAR","2004","Articles of rare earths/metals nes","Export","1090944","2608","Weight in kilograms","2608"
"China, Hong Kong SAR","2004","Articles of rare earths/metals nes","Re-Export","1090944","2608","Weight in kilograms","2608"
"China, Hong Kong SAR","2003","Articles of rare earths/metals nes","Import","2654718","9880","Weight in kilograms","9880"
"China, Hong Kong SAR","2003","Articles of rare earths/metals nes","Export","3532670","12879","Weight in kilograms","12879"
"China, Hong Kong SAR","2003","Articles of rare earths/metals nes","Re-Export","3532670","12879","Weight in kilograms","12879"
"China, Hong Kong SAR","2002","Articles of rare earths/metals nes","Import","3447054","11004","Weight in kilograms","11004"
"China, Hong Kong SAR","2002","Articles of rare earths/metals nes","Export","3372140","11969","Weight in kilograms","11969"
"China, Hong Kong SAR","2002","Articles of rare earths/metals nes","Re-Export","3372140","11969","Weight in kilograms","11969"
"China, Hong Kong SAR","2001","Articles of rare earths/metals nes","Import","3874219","33478","Weight in kilograms","33478"
"China, Hong Kong SAR","2001","Articles of rare earths/metals nes","Export","3459579","127575","Weight in kilograms","127575"
"China, Hong Kong SAR","2001","Articles of rare earths/metals nes","Re-Export","3418627","126064","Weight in kilograms","126064"
"China, Hong Kong SAR","2000","Articles of rare earths/metals nes","Import","3546322","28759","Weight in kilograms","28759"
"China, Hong Kong SAR","2000","Articles of rare earths/metals nes","Export","2695669","81288","Weight in kilograms","81288"
"China, Hong Kong SAR","2000","Articles of rare earths/metals nes","Re-Export","2695669","81288","Weight in kilograms","81288"
"China, Hong Kong SAR","1999","Articles of rare earths/metals nes","Import","1365245","0","No Quantity","0"
"China, Hong Kong SAR","1999","Articles of rare earths/metals nes","Export","1566614","0","No Quantity","0"
"China, Hong Kong SAR","1999","Articles of rare earths/metals nes","Re-Export","1516872","0","No Quantity","0"
"China, Hong Kong SAR","1998","Articles of rare earths/metals nes","Import","467248","0","No Quantity","0"
"China, Hong Kong SAR","1998","Articles of rare earths/metals nes","Export","289478","0","No Quantity","0"
"China, Hong Kong SAR","1998","Articles of rare earths/metals nes","Re-Export","218277","0","No Quantity","0"
"China, Hong Kong SAR","1997","Articles of rare earths/metals nes","Import","141486","0","No Quantity","0"
"China, Hong Kong SAR","1997","Articles of rare earths/metals nes","Export","531684","0","No Quantity","0"
"China, Hong Kong SAR","1997","Articles of rare earths/metals nes","Re-Export","219668","0","No Quantity","0"
"China, Hong Kong SAR","1996","Articles of rare earths/metals nes","Import","83005","0","No Quantity","0"
"China, Hong Kong SAR","1996","Articles of rare earths/metals nes","Export","484203","0","No Quantity","0"
"China, Hong Kong SAR","1996","Articles of rare earths/metals nes","Re-Export","188250","0","No Quantity","0"
"China, Hong Kong SAR","1995","Articles of rare earths/metals nes","Import","777546","0","No Quantity","0"
"China, Hong Kong SAR","1995","Articles of rare earths/metals nes","Export","514097","0","No Quantity","0"
"China, Hong Kong SAR","1995","Articles of rare earths/metals nes","Re-Export","491863","0","No Quantity","0"
"China, Hong Kong SAR","1994","Articles of rare earths/metals nes","Import","292028","0","No Quantity","0"
"China, Hong Kong SAR","1994","Articles of rare earths/metals nes","Export","8281","0","No Quantity","0"
"China, Hong Kong SAR","1994","Articles of rare earths/metals nes","Re-Export","8281","0","No Quantity","0"
"China, Hong Kong SAR","1993","Articles of rare earths/metals nes","Import","18356","0","No Quantity","0"
"China, Hong Kong SAR","1993","Articles of rare earths/metals nes","Export","41108","0","No Quantity","0"
"China, Hong Kong SAR","1993","Articles of rare earths/metals nes","Re-Export","41108","0","No Quantity","0"
"Colombia","2018","Articles of rare earths/metals nes","Import","605984.9","16000.85","Weight in kilograms","16000.85"
"Colombia","2017","Articles of rare earths/metals nes","Import","1080830.79","41220.26","Weight in kilograms","41220.26"
"Colombia","2016","Articles of rare earths/metals nes","Import","615764","62445","Weight in kilograms","62445"
"Colombia","2015","Articles of rare earths/metals nes","Import","500924","25906","Weight in kilograms","25906"
"Colombia","2014","Articles of rare earths/metals nes","Import","2500474","80046","Weight in kilograms","80046"
"Colombia","2013","Articles of rare earths/metals nes","Import","1386088","40013","Weight in kilograms","40013"
"Colombia","2012","Articles of rare earths/metals nes","Import","1693901","60291","Weight in kilograms","60291"
"Colombia","2011","Articles of rare earths/metals nes","Import","708309","28299","Weight in kilograms","28299"
"Colombia","2010","Articles of rare earths/metals nes","Import","6048","200","Weight in kilograms","200"
"Colombia","2009","Articles of rare earths/metals nes","Import","32683","5573","Weight in kilograms","5573"
"Colombia","2008","Articles of rare earths/metals nes","Import","2000","112","Weight in kilograms","112"
"Colombia","2007","Articles of rare earths/metals nes","Import","6061","1007","Weight in kilograms","1007"
"Colombia","2006","Articles of rare earths/metals nes","Import","2850","968","Weight in kilograms","968"
"Colombia","2005","Articles of rare earths/metals nes","Import","2781","2","Weight in kilograms","2"
"Colombia","2004","Articles of rare earths/metals nes","Import","481","3","Weight in kilograms","3"
"Colombia","2002","Articles of rare earths/metals nes","Import","1965","76","Weight in kilograms","76"
"Colombia","2000","Articles of rare earths/metals nes","Import","518","4","Weight in kilograms","4"
"Colombia","1997","Articles of rare earths/metals nes","Import","5468","1375","Weight in kilograms","1375"
"Colombia","1996","Articles of rare earths/metals nes","Import","90","0","No Quantity","0"
"Colombia","1996","Articles of rare earths/metals nes","Export","623","4","Weight in kilograms","4"
"Colombia","1995","Articles of rare earths/metals nes","Import","6893","55","Weight in kilograms","55"
"Colombia","1994","Articles of rare earths/metals nes","Import","13180","179","Weight in kilograms","179"
"Colombia","1993","Articles of rare earths/metals nes","Import","12399","276","Weight in kilograms","276"
"Colombia","1992","Articles of rare earths/metals nes","Import","4260","44","Weight in kilograms","44"
"Colombia","1991","Articles of rare earths/metals nes","Import","3110","23","Weight in kilograms","23"
"Comoros","2012","Articles of rare earths/metals nes","Import","28","17","Weight in kilograms","17"
"Comoros","2011","Articles of rare earths/metals nes","Import","28","100","Weight in kilograms","100"
"Congo","2017","Articles of rare earths/metals nes","Import","165.84037255","37","Weight in kilograms","37"
"Congo","2014","Articles of rare earths/metals nes","Import","284029","19283","Weight in kilograms","19283"
"Congo","2014","Articles of rare earths/metals nes","Export","113","3","Weight in kilograms","3"
"Congo","2013","Articles of rare earths/metals nes","Import","19531","34445","Weight in kilograms","34445"
"Congo","2013","Articles of rare earths/metals nes","Export","77","1","Weight in kilograms","1"
"Congo","2012","Articles of rare earths/metals nes","Import","3486","20494","Weight in kilograms","20494"
"Congo","2012","Articles of rare earths/metals nes","Export","146","1","Weight in kilograms","1"
"Congo","2011","Articles of rare earths/metals nes","Import","774","89","Weight in kilograms","89"
"Congo","2010","Articles of rare earths/metals nes","Import","2853","6684","Weight in kilograms","6684"
"Congo","2009","Articles of rare earths/metals nes","Import","2954","6786","Weight in kilograms","6786"
"Congo","2007","Articles of rare earths/metals nes","Import","1110","8409","Weight in kilograms","8409"
"Congo","1995","Articles of rare earths/metals nes","Import","335","1125","Weight in kilograms","1125"
"Costa Rica","2018","Articles of rare earths/metals nes","Import","18176.26","319","Weight in kilograms","319"
"Costa Rica","2017","Articles of rare earths/metals nes","Import","72944.960842994","662","Weight in kilograms","662"
"Costa Rica","2016","Articles of rare earths/metals nes","Import","159299.99","1503","Weight in kilograms","1503"
"Costa Rica","2015","Articles of rare earths/metals nes","Import","49888","929","Weight in kilograms","929"
"Costa Rica","2015","Articles of rare earths/metals nes","Export","7080","507","Weight in kilograms","507"
"Costa Rica","2014","Articles of rare earths/metals nes","Import","307361","4107","Weight in kilograms","4107"
"Costa Rica","2014","Articles of rare earths/metals nes","Export","375565","8993","Weight in kilograms","8993"
"Costa Rica","2013","Articles of rare earths/metals nes","Import","2126824","5158","Weight in kilograms","5158"
"Costa Rica","2013","Articles of rare earths/metals nes","Export","20197","581","Weight in kilograms","581"
"Costa Rica","2012","Articles of rare earths/metals nes","Import","2838726","10503","Weight in kilograms","10503"
"Costa Rica","2012","Articles of rare earths/metals nes","Export","129171","592","Weight in kilograms","592"
"Costa Rica","2011","Articles of rare earths/metals nes","Import","415110","681","Weight in kilograms","681"
"Costa Rica","2010","Articles of rare earths/metals nes","Import","815793","3405","Weight in kilograms","3405"
"Costa Rica","2010","Articles of rare earths/metals nes","Export","36","1","Weight in kilograms","1"
"Costa Rica","2009","Articles of rare earths/metals nes","Import","5669442","25658","Weight in kilograms","25658"
"Costa Rica","2008","Articles of rare earths/metals nes","Import","7800923","31030","Weight in kilograms","31030"
"Costa Rica","2008","Articles of rare earths/metals nes","Export","5220","15","Weight in kilograms","15"
"Costa Rica","2007","Articles of rare earths/metals nes","Import","11026075","35720","Weight in kilograms","35720"
"Costa Rica","2007","Articles of rare earths/metals nes","Export","5821500","422","Weight in kilograms","422"
"Costa Rica","2006","Articles of rare earths/metals nes","Import","8030948","23792","Weight in kilograms","23792"
"Costa Rica","2006","Articles of rare earths/metals nes","Export","961678","3289","Weight in kilograms","3289"
"Costa Rica","2005","Articles of rare earths/metals nes","Import","4990336","20341","Weight in kilograms","20341"
"Costa Rica","2005","Articles of rare earths/metals nes","Export","9968","4","Weight in kilograms","4"
"Costa Rica","2004","Articles of rare earths/metals nes","Import","3145968","17882","Weight in kilograms","17882"
"Costa Rica","2003","Articles of rare earths/metals nes","Import","1396718","4867","Weight in kilograms","4867"
"Costa Rica","2000","Articles of rare earths/metals nes","Import","32","1","Weight in kilograms","1"
"Costa Rica","1996","Articles of rare earths/metals nes","Import","1771","62","Weight in kilograms","62"
"Costa Rica","1995","Articles of rare earths/metals nes","Import","7470","2687","Weight in kilograms","2687"
"Côte d'Ivoire","2017","Articles of rare earths/metals nes","Export","4588.3161238767","2343","Weight in kilograms","2343"
"Côte d'Ivoire","2016","Articles of rare earths/metals nes","Import","650.8847350932","27","Weight in kilograms","27"
"Côte d'Ivoire","2015","Articles of rare earths/metals nes","Export","17","1","Weight in kilograms","1"
"Côte d'Ivoire","2014","Articles of rare earths/metals nes","Import","444","27","Weight in kilograms","27"
"Côte d'Ivoire","2013","Articles of rare earths/metals nes","Import","652","5","Weight in kilograms","5"
"Côte d'Ivoire","2012","Articles of rare earths/metals nes","Import","76","1","Weight in kilograms","1"
"Côte d'Ivoire","2010","Articles of rare earths/metals nes","Import","274","23","Weight in kilograms","23"
"Côte d'Ivoire","2009","Articles of rare earths/metals nes","Import","25885","744","Weight in kilograms","744"
"Côte d'Ivoire","2008","Articles of rare earths/metals nes","Import","101","45","Weight in kilograms","45"
"Côte d'Ivoire","2007","Articles of rare earths/metals nes","Import","52","9","Weight in kilograms","9"
"Côte d'Ivoire","2006","Articles of rare earths/metals nes","Import","1088","186","Weight in kilograms","186"
"Côte d'Ivoire","2005","Articles of rare earths/metals nes","Import","1935","898","Weight in kilograms","898"
"Côte d'Ivoire","2004","Articles of rare earths/metals nes","Import","2651","50","Weight in kilograms","50"
"Côte d'Ivoire","2003","Articles of rare earths/metals nes","Import","1127","760","Weight in kilograms","760"
"Côte d'Ivoire","2003","Articles of rare earths/metals nes","Export","10","21","Weight in kilograms","21"
"Côte d'Ivoire","2002","Articles of rare earths/metals nes","Import","2679","1840","Weight in kilograms","1840"
"Côte d'Ivoire","2001","Articles of rare earths/metals nes","Import","127","1","Weight in kilograms","1"
"Croatia","2018","Articles of rare earths/metals nes","Import","406546","5002.67","Weight in kilograms","5002.67"
"Croatia","2017","Articles of rare earths/metals nes","Import","426","","Weight in kilograms","1.84704410565451"
"Croatia","2017","Articles of rare earths/metals nes","Export","100","0.001373","Weight in kilograms","0.001373"
"Croatia","2016","Articles of rare earths/metals nes","Import","2957","5","Weight in kilograms","5"
"Croatia","2015","Articles of rare earths/metals nes","Import","378","20","Weight in kilograms","20"
"Croatia","2014","Articles of rare earths/metals nes","Import","580","2","Weight in kilograms","2"
"Croatia","2013","Articles of rare earths/metals nes","Import","1076","2","Weight in kilograms","2"
"Croatia","2012","Articles of rare earths/metals nes","Import","1193","","No Quantity",""
"Croatia","2011","Articles of rare earths/metals nes","Import","706","2","Weight in kilograms","2"
"Croatia","2010","Articles of rare earths/metals nes","Import","518","2","Weight in kilograms","2"
"Croatia","2009","Articles of rare earths/metals nes","Import","1755","","No Quantity",""
"Croatia","2008","Articles of rare earths/metals nes","Import","559","7","Weight in kilograms","7"
"Croatia","2007","Articles of rare earths/metals nes","Import","1463","","No Quantity",""
"Croatia","2006","Articles of rare earths/metals nes","Import","660","4","Weight in kilograms","4"
"Croatia","2004","Articles of rare earths/metals nes","Import","138","3","Weight in kilograms","3"
"Croatia","2002","Articles of rare earths/metals nes","Import","2290","11","Weight in kilograms","11"
"Croatia","2001","Articles of rare earths/metals nes","Import","52235","209145","Weight in kilograms","209145"
"Croatia","2001","Articles of rare earths/metals nes","Export","228","2","Weight in kilograms","2"
"Croatia","2000","Articles of rare earths/metals nes","Import","56814","221943","Weight in kilograms","221943"
"Croatia","2000","Articles of rare earths/metals nes","Export","2424","6","Weight in kilograms","6"
"Croatia","1999","Articles of rare earths/metals nes","Import","46885","186038","Weight in kilograms","186038"
"Croatia","1998","Articles of rare earths/metals nes","Import","39622","149124","Weight in kilograms","149124"
"Croatia","1997","Articles of rare earths/metals nes","Import","46813","179252","Weight in kilograms","179252"
"Croatia","1996","Articles of rare earths/metals nes","Import","57794","155065","Weight in kilograms","155065"
"Croatia","1995","Articles of rare earths/metals nes","Import","87298","198000","Weight in kilograms","198000"
"Croatia","1994","Articles of rare earths/metals nes","Import","29223","91562","Weight in kilograms","91562"
"Croatia","1993","Articles of rare earths/metals nes","Export","44949","0","No Quantity","0"
"Croatia","1993","Articles of rare earths/metals nes","Import","45494","113764","Weight in kilograms","113764"
"Croatia","1992","Articles of rare earths/metals nes","Import","32214","90000","Weight in kilograms","90000"
"Cuba","2000","Articles of rare earths/metals nes","Import","180","1084","Weight in kilograms","1084"
"Cyprus","2018","Articles of rare earths/metals nes","Import","526.51158996","1","Weight in kilograms","1"
"Cyprus","2017","Articles of rare earths/metals nes","Import","330.80783076","1","Weight in kilograms","1"
"Cyprus","2015","Articles of rare earths/metals nes","Import","206.19556938","1","Weight in kilograms","1"
"Cyprus","2014","Articles of rare earths/metals nes","Import","723.29924065","3","Weight in kilograms","3"
"Cyprus","2012","Articles of rare earths/metals nes","Import","1967","6","Weight in kilograms","6"
"Cyprus","2010","Articles of rare earths/metals nes","Import","202","1","Weight in kilograms","1"
"Cyprus","1995","Articles of rare earths/metals nes","Import","241","3","Weight in kilograms","3"
"Cyprus","1994","Articles of rare earths/metals nes","Import","1899","93","Weight in kilograms","93"
"Cyprus","1993","Articles of rare earths/metals nes","Import","3579","1043","Weight in kilograms","1043"
"Cyprus","1992","Articles of rare earths/metals nes","Import","7254","40","Weight in kilograms","40"
"Cyprus","1991","Articles of rare earths/metals nes","Import","3181","54","Weight in kilograms","54"
"Cyprus","1990","Articles of rare earths/metals nes","Import","758","10","Weight in kilograms","10"
"Cyprus","1989","Articles of rare earths/metals nes","Import","1127","28","Weight in kilograms","28"
"Czech Rep.","2019","Articles of rare earths/metals nes","Import","911479","3824.35094065999","Weight in kilograms","3824.35094065999"
"Czech Rep.","2019","Articles of rare earths/metals nes","Export","415967","2160.8806646085","Weight in kilograms","2160.8806646085"
"Czech Rep.","2018","Articles of rare earths/metals nes","Import","587732","2107.69120426358","Weight in kilograms","2107.69120426358"
"Czech Rep.","2018","Articles of rare earths/metals nes","Export","80348","137.196766361623","Weight in kilograms","137.196766361623"
"Czech Rep.","2017","Articles of rare earths/metals nes","Import","518396","1529.38428458523","Weight in kilograms","1529.38428458523"
"Czech Rep.","2017","Articles of rare earths/metals nes","Export","6805","","Weight in kilograms","24.917899381968"
"Czech Rep.","2016","Articles of rare earths/metals nes","Import","440940","1284","Weight in kilograms","1284"
"Czech Rep.","2016","Articles of rare earths/metals nes","Export","4567","2","Weight in kilograms","2"
"Czech Rep.","2015","Articles of rare earths/metals nes","Import","444154","1277","Weight in kilograms","1277"
"Czech Rep.","2015","Articles of rare earths/metals nes","Export","26198","19","Weight in kilograms","19"
"Czech Rep.","2014","Articles of rare earths/metals nes","Export","6513","","No Quantity",""
"Czech Rep.","2014","Articles of rare earths/metals nes","Import","375882","1507","Weight in kilograms","1507"
"Czech Rep.","2013","Articles of rare earths/metals nes","Import","382624","592","Weight in kilograms","592"
"Czech Rep.","2013","Articles of rare earths/metals nes","Export","15670","30","Weight in kilograms","30"
"Czech Rep.","2012","Articles of rare earths/metals nes","Import","334838","504","Weight in kilograms","504"
"Czech Rep.","2012","Articles of rare earths/metals nes","Export","14045","57","Weight in kilograms","57"
"Czech Rep.","2011","Articles of rare earths/metals nes","Import","377176","470","Weight in kilograms","470"
"Czech Rep.","2011","Articles of rare earths/metals nes","Export","2906","9","Weight in kilograms","9"
"Czech Rep.","2010","Articles of rare earths/metals nes","Import","206112","201","Weight in kilograms","201"
"Czech Rep.","2009","Articles of rare earths/metals nes","Export","887","","No Quantity",""
"Czech Rep.","2009","Articles of rare earths/metals nes","Import","111627","9345","Weight in kilograms","9345"
"Czech Rep.","2008","Articles of rare earths/metals nes","Import","229853","207","Weight in kilograms","207"
"Czech Rep.","2007","Articles of rare earths/metals nes","Import","251096","1224","Weight in kilograms","1224"
"Czech Rep.","2007","Articles of rare earths/metals nes","Export","115","1","Weight in kilograms","1"
"Czech Rep.","2006","Articles of rare earths/metals nes","Import","183046","230","Weight in kilograms","230"
"Czech Rep.","2005","Articles of rare earths/metals nes","Import","107920","137","Weight in kilograms","137"
"Czech Rep.","2004","Articles of rare earths/metals nes","Import","116098","502","Weight in kilograms","502"
"Czech Rep.","2004","Articles of rare earths/metals nes","Export","3871","18","Weight in kilograms","18"
"Czech Rep.","2003","Articles of rare earths/metals nes","Import","99898","228","Weight in kilograms","228"
"Czech Rep.","2003","Articles of rare earths/metals nes","Export","2655","8","Weight in kilograms","8"
"Czech Rep.","2002","Articles of rare earths/metals nes","Import","57936","221","Weight in kilograms","221"
"Czech Rep.","2002","Articles of rare earths/metals nes","Export","73","1","Weight in kilograms","1"
"Czech Rep.","2001","Articles of rare earths/metals nes","Import","89191","443","Weight in kilograms","443"
"Czech Rep.","2001","Articles of rare earths/metals nes","Export","7927","13","Weight in kilograms","13"
"Czech Rep.","2000","Articles of rare earths/metals nes","Import","146022","475","Weight in kilograms","475"
"Czech Rep.","2000","Articles of rare earths/metals nes","Export","2120","14","Weight in kilograms","14"
"Czech Rep.","1999","Articles of rare earths/metals nes","Import","101765","546","Weight in kilograms","546"
"Czech Rep.","1999","Articles of rare earths/metals nes","Export","13891","156","Weight in kilograms","156"
"Czech Rep.","1998","Articles of rare earths/metals nes","Import","136561","584","Weight in kilograms","584"
"Czech Rep.","1998","Articles of rare earths/metals nes","Export","70","1","Weight in kilograms","1"
"Czech Rep.","1997","Articles of rare earths/metals nes","Import","98747","472","Weight in kilograms","472"
"Czech Rep.","1997","Articles of rare earths/metals nes","Export","2753","105","Weight in kilograms","105"
"Czech Rep.","1996","Articles of rare earths/metals nes","Import","107805","0","No Quantity","0"
"Czech Rep.","1996","Articles of rare earths/metals nes","Export","11276","0","No Quantity","0"
"Czech Rep.","1995","Articles of rare earths/metals nes","Import","269184","918","Weight in kilograms","918"
"Czech Rep.","1995","Articles of rare earths/metals nes","Export","11537","497","Weight in kilograms","497"
"Czech Rep.","1994","Articles of rare earths/metals nes","Import","175924","692","Weight in kilograms","692"
"Czech Rep.","1994","Articles of rare earths/metals nes","Export","7031","601","Weight in kilograms","601"
"Czech Rep.","1993","Articles of rare earths/metals nes","Import","35640","160","Weight in kilograms","160"
"Czech Rep.","1993","Articles of rare earths/metals nes","Export","48105","82","Weight in kilograms","82"
"Denmark","2019","Articles of rare earths/metals nes","Import","24803.87141456","25","Weight in kilograms","25"
"Denmark","2019","Articles of rare earths/metals nes","Export","44287.189233","86","Weight in kilograms","86"
"Denmark","2018","Articles of rare earths/metals nes","Import","185555.90254188","","Weight in kilograms","667.88906861688"
"Denmark","2018","Articles of rare earths/metals nes","Export","3479.95858266","","Weight in kilograms","13.7139827422371"
"Denmark","2017","Articles of rare earths/metals nes","Import","23462.56289468","98","Weight in kilograms","98"
"Denmark","2017","Articles of rare earths/metals nes","Export","2418.12761836","71","Weight in kilograms","71"
"Denmark","2016","Articles of rare earths/metals nes","Import","36400.58117314","83","Weight in kilograms","83"
"Denmark","2016","Articles of rare earths/metals nes","Export","2430.52138112","2","Weight in kilograms","2"
"Denmark","2015","Articles of rare earths/metals nes","Import","161172","158","Weight in kilograms","158"
"Denmark","2015","Articles of rare earths/metals nes","Export","120597","16","Weight in kilograms","16"
"Denmark","2014","Articles of rare earths/metals nes","Import","33024","59","Weight in kilograms","59"
"Denmark","2014","Articles of rare earths/metals nes","Export","2120","15","Weight in kilograms","15"
"Denmark","2013","Articles of rare earths/metals nes","Import","34144","12","Weight in kilograms","12"
"Denmark","2013","Articles of rare earths/metals nes","Export","16282","107","Weight in kilograms","107"
"Denmark","2012","Articles of rare earths/metals nes","Import","19953","6","Weight in kilograms","6"
"Denmark","2012","Articles of rare earths/metals nes","Export","450541","4548","Weight in kilograms","4548"
"Denmark","2011","Articles of rare earths/metals nes","Import","10268","12","Weight in kilograms","12"
"Denmark","2011","Articles of rare earths/metals nes","Export","882","10","Weight in kilograms","10"
"Denmark","2010","Articles of rare earths/metals nes","Import","10873","15","Weight in kilograms","15"
"Denmark","2010","Articles of rare earths/metals nes","Export","7041","20","Weight in kilograms","20"
"Denmark","2009","Articles of rare earths/metals nes","Import","15409","15","Weight in kilograms","15"
"Denmark","2009","Articles of rare earths/metals nes","Export","62780","4","Weight in kilograms","4"
"Denmark","2008","Articles of rare earths/metals nes","Import","25756","500","Weight in kilograms","500"
"Denmark","2007","Articles of rare earths/metals nes","Import","14953","41","Weight in kilograms","41"
"Denmark","2006","Articles of rare earths/metals nes","Import","6141","92","Weight in kilograms","92"
"Denmark","2005","Articles of rare earths/metals nes","Import","3252","18","Weight in kilograms","18"
"Denmark","2004","Articles of rare earths/metals nes","Import","13591","418","Weight in kilograms","418"
"Denmark","2004","Articles of rare earths/metals nes","Export","3200","35","Weight in kilograms","35"
"Denmark","2003","Articles of rare earths/metals nes","Import","15730","288","Weight in kilograms","288"
"Denmark","2003","Articles of rare earths/metals nes","Export","6389","30","Weight in kilograms","30"
"Denmark","2002","Articles of rare earths/metals nes","Import","10465","93","Weight in kilograms","93"
"Denmark","2002","Articles of rare earths/metals nes","Export","116","12","Weight in kilograms","12"
"Denmark","2001","Articles of rare earths/metals nes","Import","2294","25","Weight in kilograms","25"
"Denmark","2000","Articles of rare earths/metals nes","Import","183","2","Weight in kilograms","2"
"Denmark","2000","Articles of rare earths/metals nes","Export","375289","54809","Weight in kilograms","54809"
"Denmark","1999","Articles of rare earths/metals nes","Import","2194","7","Weight in kilograms","7"
