"Country or Area","Year","Commodity","Flow","Trade (USD)","Weight (kg)","Quantity Name","Quantity"
"Armenia","2014","Articles of rare earths/metals nes","Import","799","1","Weight in kilograms","1"
"Armenia","2005","Articles of rare earths/metals nes","Import","766","1","Weight in kilograms","1"
"Armenia","2004","Articles of rare earths/metals nes","Import","454","0","Weight in kilograms","0"
"Armenia","2002","Articles of rare earths/metals nes","Import","67","0","Weight in kilograms","0"
"Aruba","2018","Articles of rare earths/metals nes","Import","613.407582","136.38","Weight in kilograms","136.38"
"Aruba","2017","Articles of rare earths/metals nes","Import","720.67011","358","Weight in kilograms","358"
"Aruba","2015","Articles of rare earths/metals nes","Import","1875","398","Weight in kilograms","398"
"Aruba","2014","Articles of rare earths/metals nes","Import","2219","64","Weight in kilograms","64"
"Aruba","2013","Articles of rare earths/metals nes","Import","13850","814","Weight in kilograms","814"
"Aruba","2012","Articles of rare earths/metals nes","Import","41654","1158","Weight in kilograms","1158"
"Aruba","2011","Articles of rare earths/metals nes","Import","60137","1214","Weight in kilograms","1214"
"Aruba","2010","Articles of rare earths/metals nes","Import","15116","2318","Weight in kilograms","2318"
"Aruba","2009","Articles of rare earths/metals nes","Import","17662","564","Weight in kilograms","564"
"Australia","2018","Articles of rare earths/metals nes","Import","1385405.98168112","","Weight in kilograms","4986.62396660982"
"Australia","2018","Articles of rare earths/metals nes","Export","38592.81677863","","Weight in kilograms","152.088368497735"
"Australia","2017","Articles of rare earths/metals nes","Import","1626345.64898808","39944.66","Weight in kilograms","39944.66"
"Australia","2017","Articles of rare earths/metals nes","Export","885.68889255","","Weight in kilograms","3.29519442632778"
"Australia","2016","Articles of rare earths/metals nes","Import","3713155","58402","Weight in kilograms","58402"
"Australia","2016","Articles of rare earths/metals nes","Export","15157","33","Weight in kilograms","33"
"Australia","2015","Articles of rare earths/metals nes","Import","3456064","45148","Weight in kilograms","45148"
"Australia","2015","Articles of rare earths/metals nes","Export","9311","6","Weight in kilograms","6"
"Australia","2014","Articles of rare earths/metals nes","Import","4396749","74938","Weight in kilograms","74938"
"Australia","2014","Articles of rare earths/metals nes","Export","12904","125","Weight in kilograms","125"
"Australia","2013","Articles of rare earths/metals nes","Import","8169568","131583","Weight in kilograms","131583"
"Australia","2013","Articles of rare earths/metals nes","Export","1262","9","Weight in kilograms","9"
"Australia","2012","Articles of rare earths/metals nes","Import","6473401","100233","Weight in kilograms","100233"
"Australia","2012","Articles of rare earths/metals nes","Export","74544","42005","Weight in kilograms","42005"
"Australia","2011","Articles of rare earths/metals nes","Import","4513335","88753","Weight in kilograms","88753"
"Australia","2011","Articles of rare earths/metals nes","Export","697","0","Weight in kilograms","0"
"Australia","2010","Articles of rare earths/metals nes","Import","1153765","26360","Weight in kilograms","26360"
"Australia","2009","Articles of rare earths/metals nes","Import","1518488","28008","Weight in kilograms","28008"
"Australia","2009","Articles of rare earths/metals nes","Export","48875","11818","Weight in kilograms","11818"
"Australia","2008","Articles of rare earths/metals nes","Import","2661187","62659","Weight in kilograms","62659"
"Australia","2007","Articles of rare earths/metals nes","Import","3330109","172491","Weight in kilograms","172491"
"Australia","2007","Articles of rare earths/metals nes","Export","95838","1077","Weight in kilograms","1077"
"Australia","2006","Articles of rare earths/metals nes","Import","2702574","195334","Weight in kilograms","195334"
"Australia","2006","Articles of rare earths/metals nes","Export","159868","134","Weight in kilograms","134"
"Australia","2005","Articles of rare earths/metals nes","Import","2099573","199082","Weight in kilograms","199082"
"Australia","2005","Articles of rare earths/metals nes","Export","96892","68","Weight in kilograms","68"
"Australia","2004","Articles of rare earths/metals nes","Import","2126841","184379","Weight in kilograms","184379"
"Australia","2003","Articles of rare earths/metals nes","Import","1666494","150113","Weight in kilograms","150113"
"Australia","2002","Articles of rare earths/metals nes","Import","3072650","225264","Weight in kilograms","225264"
"Australia","2002","Articles of rare earths/metals nes","Export","5806","103","Weight in kilograms","103"
"Australia","2001","Articles of rare earths/metals nes","Import","2897239","199633","Weight in kilograms","199633"
"Australia","2001","Articles of rare earths/metals nes","Export","9215","51","Weight in kilograms","51"
"Australia","2000","Articles of rare earths/metals nes","Import","1707645","103207","Weight in kilograms","103207"
"Australia","2000","Articles of rare earths/metals nes","Export","53974","13923","Weight in kilograms","13923"
"Australia","1999","Articles of rare earths/metals nes","Import","156310","6448","Weight in kilograms","6448"
"Australia","1999","Articles of rare earths/metals nes","Export","43368","3951","Weight in kilograms","3951"
"Australia","1999","Articles of rare earths/metals nes","Re-Export","25063","97","Weight in kilograms","97"
"Australia","1998","Articles of rare earths/metals nes","Import","473910","16624","Weight in kilograms","16624"
"Australia","1997","Articles of rare earths/metals nes","Import","299352","12611","Weight in kilograms","12611"
"Australia","1997","Articles of rare earths/metals nes","Export","1791329","53425","Weight in kilograms","53425"
"Australia","1996","Articles of rare earths/metals nes","Import","555163","15041","Weight in kilograms","15041"
"Australia","1996","Articles of rare earths/metals nes","Export","3629920","119757","Weight in kilograms","119757"
"Australia","1995","Articles of rare earths/metals nes","Import","185354","1587","Weight in kilograms","1587"
"Australia","1995","Articles of rare earths/metals nes","Export","35577","796","Weight in kilograms","796"
"Australia","1994","Articles of rare earths/metals nes","Import","140766","4765","Weight in kilograms","4765"
"Australia","1993","Articles of rare earths/metals nes","Import","180614","2913","Weight in kilograms","2913"
"Australia","1993","Articles of rare earths/metals nes","Export","11430","1062","Weight in kilograms","1062"
"Australia","1992","Articles of rare earths/metals nes","Import","120118","804","Weight in kilograms","804"
"Australia","1992","Articles of rare earths/metals nes","Export","10086","24","Weight in kilograms","24"
"Australia","1991","Articles of rare earths/metals nes","Import","160133","701","Weight in kilograms","701"
"Australia","1991","Articles of rare earths/metals nes","Export","6991","225","Weight in kilograms","225"
"Australia","1990","Articles of rare earths/metals nes","Import","107693","749","Weight in kilograms","749"
"Australia","1990","Articles of rare earths/metals nes","Export","5451","2125","Weight in kilograms","2125"
"Australia","1989","Articles of rare earths/metals nes","Import","136386","542","Weight in kilograms","542"
"Australia","1989","Articles of rare earths/metals nes","Export","37184","2937","Weight in kilograms","2937"
"Australia","1988","Articles of rare earths/metals nes","Import","258828","5306","Weight in kilograms","5306"
"Australia","1988","Articles of rare earths/metals nes","Export","4616","1257","Weight in kilograms","1257"
"Austria","2018","Articles of rare earths/metals nes","Import","8271920.29568806","135844","Weight in kilograms","135844"
"Austria","2018","Articles of rare earths/metals nes","Export","1269373.9260558","1721","Weight in kilograms","1721"
"Austria","2017","Articles of rare earths/metals nes","Import","9142524.7656358","188591.584063267","Weight in kilograms","188591.584063267"
"Austria","2017","Articles of rare earths/metals nes","Export","326.36800634","2","Weight in kilograms","2"
"Austria","2016","Articles of rare earths/metals nes","Import","5156383.97377216","230079.567490822","Weight in kilograms","230079.567490822"
"Austria","2016","Articles of rare earths/metals nes","Export","54060.80226417","551","Weight in kilograms","551"
"Austria","2015","Articles of rare earths/metals nes","Import","4112000.09469389","85049","Weight in kilograms","85049"
"Austria","2015","Articles of rare earths/metals nes","Export","20473.54001048","104.424097433667","Weight in kilograms","104.424097433667"
"Austria","2014","Articles of rare earths/metals nes","Import","7884927.47739816","136653.253358811","Weight in kilograms","136653.253358811"
"Austria","2014","Articles of rare earths/metals nes","Export","15075.55037664","131.226781051846","Weight in kilograms","131.226781051846"
"Austria","2013","Articles of rare earths/metals nes","Import","6217926.9244263","100799","Weight in kilograms","100799"
"Austria","2013","Articles of rare earths/metals nes","Export","7292.01774459","51.3561541339319","Weight in kilograms","51.3561541339319"
"Austria","2012","Articles of rare earths/metals nes","Import","11741265.7010909","178882.879416163","Weight in kilograms","178882.879416163"
"Austria","2012","Articles of rare earths/metals nes","Export","25662.04210368","166.165371809101","Weight in kilograms","166.165371809101"
"Austria","2011","Articles of rare earths/metals nes","Import","11077759","145551","Weight in kilograms","145551"
"Austria","2011","Articles of rare earths/metals nes","Export","12965","248","Weight in kilograms","248"
"Austria","2010","Articles of rare earths/metals nes","Export","3867","","No Quantity",""
"Austria","2010","Articles of rare earths/metals nes","Import","7805383","139044","Weight in kilograms","139044"
"Austria","2009","Articles of rare earths/metals nes","Import","3138625","113384","Weight in kilograms","113384"
"Austria","2009","Articles of rare earths/metals nes","Export","58271","515","Weight in kilograms","515"
"Austria","2008","Articles of rare earths/metals nes","Import","4785714","77379","Weight in kilograms","77379"
"Austria","2008","Articles of rare earths/metals nes","Export","66531","933","Weight in kilograms","933"
"Austria","2007","Articles of rare earths/metals nes","Import","2850102","62326","Weight in kilograms","62326"
"Austria","2007","Articles of rare earths/metals nes","Export","37657","748","Weight in kilograms","748"
"Austria","2006","Articles of rare earths/metals nes","Import","1313579","48770","Weight in kilograms","48770"
"Austria","2006","Articles of rare earths/metals nes","Export","8279","72","Weight in kilograms","72"
"Austria","2005","Articles of rare earths/metals nes","Import","600605","23008","Weight in kilograms","23008"
"Austria","2004","Articles of rare earths/metals nes","Import","790534","9536","Weight in kilograms","9536"
"Austria","2004","Articles of rare earths/metals nes","Export","1918665","3710","Weight in kilograms","3710"
"Austria","2003","Articles of rare earths/metals nes","Import","397958","5492","Weight in kilograms","5492"
"Austria","2003","Articles of rare earths/metals nes","Export","2315543","4763","Weight in kilograms","4763"
"Austria","2002","Articles of rare earths/metals nes","Import","204404","3097","Weight in kilograms","3097"
"Austria","2002","Articles of rare earths/metals nes","Export","997926","3342","Weight in kilograms","3342"
"Austria","2001","Articles of rare earths/metals nes","Import","336958","4303","Weight in kilograms","4303"
"Austria","2001","Articles of rare earths/metals nes","Export","880289","4311","Weight in kilograms","4311"
"Austria","2000","Articles of rare earths/metals nes","Import","326890","6737","Weight in kilograms","6737"
"Austria","2000","Articles of rare earths/metals nes","Export","686647","1981","Weight in kilograms","1981"
