,Country,Year,Commodity,Flow,Trade (USD)
100,Australia,2011,Articles of rare earths/metals nes,Export,697.0
101,Australia,2010,Articles of rare earths/metals nes,Import,1153765.0
102,Australia,2009,Articles of rare earths/metals nes,Import,1518488.0
103,Australia,2009,Articles of rare earths/metals nes,Export,48875.0
104,Australia,2008,Articles of rare earths/metals nes,Import,2661187.0
105,Australia,2007,Articles of rare earths/metals nes,Import,3330109.0
106,Australia,2007,Articles of rare earths/metals nes,Export,95838.0
107,Australia,2006,Articles of rare earths/metals nes,Import,2702574.0
108,Australia,2006,Articles of rare earths/metals nes,Export,159868.0
109,Australia,2005,Articles of rare earths/metals nes,Import,2099573.0
110,Australia,2005,Articles of rare earths/metals nes,Export,96892.0
111,Australia,2004,Articles of rare earths/metals nes,Import,2126841.0
112,Australia,2003,Articles of rare earths/metals nes,Import,1666494.0
113,Australia,2002,Articles of rare earths/metals nes,Import,3072650.0
114,Australia,2002,Articles of rare earths/metals nes,Export,5806.0
115,Australia,2001,Articles of rare earths/metals nes,Import,2897239.0
116,Australia,2001,Articles of rare earths/metals nes,Export,9215.0
117,Australia,2000,Articles of rare earths/metals nes,Import,1707645.0
118,Australia,2000,Articles of rare earths/metals nes,Export,53974.0
119,Australia,1999,Articles of rare earths/metals nes,Import,156310.0
120,Australia,1999,Articles of rare earths/metals nes,Export,43368.0
121,Australia,1999,Articles of rare earths/metals nes,Re-Export,25063.0
122,Australia,1998,Articles of rare earths/metals nes,Import,473910.0
123,Australia,1997,Articles of rare earths/metals nes,Import,299352.0
124,Australia,1997,Articles of rare earths/metals nes,Export,1791329.0
125,Australia,1996,Articles of rare earths/metals nes,Import,555163.0
126,Australia,1996,Articles of rare earths/metals nes,Export,3629920.0
127,Australia,1995,Articles of rare earths/metals nes,Import,185354.0
128,Australia,1995,Articles of rare earths/metals nes,Export,35577.0
129,Australia,1994,Articles of rare earths/metals nes,Import,140766.0
130,Australia,1993,Articles of rare earths/metals nes,Import,180614.0
131,Australia,1993,Articles of rare earths/metals nes,Export,11430.0
132,Australia,1992,Articles of rare earths/metals nes,Import,120118.0
133,Australia,1992,Articles of rare earths/metals nes,Export,10086.0
134,Australia,1991,Articles of rare earths/metals nes,Import,160133.0
135,Australia,1991,Articles of rare earths/metals nes,Export,6991.0
136,Australia,1990,Articles of rare earths/metals nes,Import,107693.0
137,Australia,1990,Articles of rare earths/metals nes,Export,5451.0
138,Australia,1989,Articles of rare earths/metals nes,Import,136386.0
139,Australia,1989,Articles of rare earths/metals nes,Export,37184.0
140,Australia,1988,Articles of rare earths/metals nes,Import,258828.0
141,Australia,1988,Articles of rare earths/metals nes,Export,4616.0
142,Austria,2018,Articles of rare earths/metals nes,Import,8271920.29568806
143,Austria,2018,Articles of rare earths/metals nes,Export,1269373.9260558002
144,Austria,2017,Articles of rare earths/metals nes,Import,9142524.7656358
145,Austria,2017,Articles of rare earths/metals nes,Export,326.36800634
146,Austria,2016,Articles of rare earths/metals nes,Import,5156383.97377216
147,Austria,2016,Articles of rare earths/metals nes,Export,54060.80226417
148,Austria,2015,Articles of rare earths/metals nes,Import,4112000.09469389
149,Austria,2015,Articles of rare earths/metals nes,Export,20473.54001048
150,Austria,2014,Articles of rare earths/metals nes,Import,7884927.47739816
151,Austria,2014,Articles of rare earths/metals nes,Export,15075.55037664
152,Austria,2013,Articles of rare earths/metals nes,Import,6217926.9244263
153,Austria,2013,Articles of rare earths/metals nes,Export,7292.01774459
154,Austria,2012,Articles of rare earths/metals nes,Import,11741265.7010909
155,Austria,2012,Articles of rare earths/metals nes,Export,25662.04210368
156,Austria,2011,Articles of rare earths/metals nes,Import,11077759.0
157,Austria,2011,Articles of rare earths/metals nes,Export,12965.0
158,Austria,2010,Articles of rare earths/metals nes,Export,3867.0
159,Austria,2010,Articles of rare earths/metals nes,Import,7805383.0
